,economy,Continent,Sub-region Name,CLDR display name,CC.EST.2022,CC.PER.RNK.2022,CC.PER.RNK.LOWER.2022,CC.PER.RNK.UPPER.2022,EG.CFT.ACCS.RU.ZS.2021,EG.CFT.ACCS.UR.ZS.2021,EG.CFT.ACCS.ZS.2021,EN.ATM.PM25.MC.M3.2019,ER.LND.PTLD.ZS.2022,ER.PTD.TOTL.ZS.2022,GE.EST.2022,GE.PER.RNK.2022,GE.PER.RNK.LOWER.2022,GE.PER.RNK.UPPER.2022,IQ.SPI.PIL1.2019,IT.NET.SECR.P6.2020
10,AZE,AS,Western Asia,Azerbaijan,-1.04057228565216,16.9811325073242,7.07547187805176,24.5283012390137,97.5,99.4,98.3,25.4950546,10.1551256,5.51915287902806,-0.0406579151749611,50.9433975219727,32.0754699707031,65.5660400390625,80.0,299.312769558593
11,BHS,NA,Latin America and the Caribbean,Bahamas,1.25618994235992,84.4339599609375,79.7169799804688,91.5094375610352,100.0,100.0,100.0,15.59065792,36.6336479,8.55510453357711,0.424218326807022,65.0943374633789,48.113208770752,78.7735824584961,100.0,1220.25925588787
12,BHR,AS,Western Asia,Bahrain,0.139385640621185,59.4339637756348,49.5283012390137,66.0377349853516,100.0,100.0,100.0,59.21710593,12.9564543,20.4512893274352,0.640424907207489,72.1698150634766,61.3207550048828,80.1886825561523,90.0,451.447712270105
13,BGD,AS,Southern Asia,Bangladesh,-1.0755273103714,15.5660381317139,7.07547187805176,21.698112487793,9.7,59.1,26.5,63.4255285,4.6059628,4.88855578041463,-0.76255190372467,23.1132068634033,11.3207550048828,35.8490562438965,90.0,137.88596864439
14,BRB,NA,Latin America and the Caribbean,Barbados,1.28457343578339,89.1509399414063,80.1886825561523,92.9245300292969,100.0,100.0,100.0,21.34389367,1.2701082,0.00860620211335492,0.428703635931015,65.5660400390625,49.0566024780273,78.7735824584961,80.0,1061.65811046232
15,BLR,EU,Eastern Europe,Belarus,-0.57967621088028,31.6037731170654,21.2264156341553,44.8113212585449,99.0,99.8,99.6,16.42351285,13.8429871,13.842986650784,-0.851105093955994,19.8113212585449,8.96226406097412,35.8490562438965,100.0,7550.57168736045
16,BEL,EU,Western Europe,Belgium,1.49504864215851,89.6226425170898,83.9622650146484,94.8113174438477,100.0,100.0,100.0,12.6724532,15.5545855,17.838189781615,1.22765874862671,84.9056625366211,76.8867950439453,95.7547149658203,100.0,24215.3210215031
17,BLZ,NA,Latin America and the Caribbean,Belize,-0.237028583884239,48.113208770752,29.7169818878174,59.9056587219238,73.6,95.1,83.0,21.17639652,37.5465813,21.122102702229,-0.356178641319275,36.3207550048828,14.6226415634155,61.3207550048828,80.0,132241.638201058
18,BEN,AF,Sub-Saharan Africa,Benin,-0.124255605041981,50.4716987609863,40.0943412780762,58.9622650146484,1.4,7.7,4.6,46.8584555,29.6433258,23.4877701634479,-0.164296001195908,45.7547187805176,32.5471687316895,59.4339637756348,70.0,17.8753303277995
19,BTN,AS,Southern Asia,Bhutan,1.51425933837891,90.0943374633789,83.9622650146484,95.7547149658203,79.9,97.7,87.0,40.29859817,49.6693344,49.6693358227634,0.556007385253906,69.8113174438477,57.0754699707031,80.1886825561523,80.0,682.195348644541
20,BOL,SA,Latin America and the Caribbean,Bolivia,-0.889222621917725,20.7547168731689,12.7358493804932,29.7169818878174,64.6,99.1,88.3,26.83286559,30.8655682,30.8655681180118,-0.563976764678955,31.6037731170654,14.6226415634155,46.2264137268066,100.0,205.426166300357
21,BIH,EU,Southern Europe,Bosnia,-0.683835208415985,25.943395614624,19.8113212585449,39.1509437561035,14.3,62.2,41.65,29.46633319,4.0636635,4.06265118305976,-1.06442642211914,12.7358493804932,6.13207530975342,29.7169818878174,80.0,3128.60960093201
22,BWA,AF,Sub-Saharan Africa,Botswana,0.661455094814301,74.0566024780273,65.0943374633789,79.7169799804688,26.3,86.3,65.7,24.71873626,29.1432571,29.1432570341637,0.463997155427933,67.9245300292969,57.0754699707031,76.8867950439453,60.0,243.480801538799
23,BRA,SA,Latin America and the Caribbean,Brazil,-0.566063046455383,32.0754699707031,21.698112487793,44.8113212585449,81.5,99.0,96.5,11.65399121,30.3046875,29.2563048918493,-0.587532162666321,30.6603775024414,14.1509437561035,44.3396224975586,90.0,3077.96611708616
24,BRN,AS,South-eastern Asia,Brunei,1.17481958866119,83.9622650146484,77.8301849365234,91.5094375610352,100.0,100.0,100.0,7.680643971,46.8721199,8.98938304297979,1.4222446680069,91.0377349853516,77.3584899902344,98.1132049560547,100.0,15597.9398947309
25,BGR,EU,Eastern Europe,Bulgaria,-0.157897114753723,50.0,39.6226425170898,58.0188674926758,,,,19.36594583,41.044857,33.1122290722854,-0.270799845457077,42.9245300292969,28.301887512207,57.0754699707031,100.0,48076.186740294
26,BFA,AF,Sub-Saharan Africa,Burkina Faso,-0.0836108103394508,51.886791229248,43.3962249755859,59.9056587219238,1.0,37.3,11.7,53.67033962,16.4263744,16.4263740899271,-0.825155377388,21.2264156341553,11.3207550048828,33.4905662536621,80.0,5.80784147807986
27,BDI,AF,Sub-Saharan Africa,Burundi,-1.518141746521,4.24528312683105,0.0,11.3207550048828,0.1,0.2,0.2,33.27977863,7.5914717,7.59147171158893,-1.26284074783325,10.3773584365845,6.13207530975342,16.9811325073242,70.0,8.42864866585539
28,CPV,AF,Sub-Saharan Africa,Cape Verde,0.983122944831848,81.1320724487305,73.1132049560547,89.1509399414063,52.6,94.6,81.8,51.11721004,2.8952403,0.0155917026419135,-0.0262028370052576,51.886791229248,34.9056587219238,63.2075462341309,80.0,169.91624330633
29,KHM,AS,South-eastern Asia,Cambodia,-1.24149858951569,9.90566062927246,4.24528312683105,18.8679237365723,34.1,74.35,44.5,22.1120864,39.738636,31.7682744960261,-0.351662397384644,36.7924537658691,22.1698112487793,57.0754699707031,70.0,192.231927332428
30,CMR,AF,Sub-Saharan Africa,Cameroon,-1.12793481349945,13.2075471878052,6.60377359390259,20.7547168731689,2.5,38.8,22.8,64.47088106,10.9788837,10.9762421976537,-0.881544709205627,18.8679237365723,10.8490562438965,31.6037731170654,80.0,16.760354152323
31,CAN,NA,Northern America,Canada,1.65857982635498,93.3962249755859,89.1509399414063,96.698112487793,100.0,100.0,100.0,7.100156005,12.7079391,11.3811168673874,1.56707048416138,94.3396224975586,82.0754699707031,98.5849075317383,100.0,39881.2423951841
32,CAF,AF,Sub-Saharan Africa,Central African Republic,-1.24606657028198,8.96226406097412,2.8301887512207,19.8113212585449,0.0,1.6,0.900000000000001,46.3767539,18.0648232,18.0648236496529,-1.7093962430954,4.24528312683105,0.943396210670471,8.96226406097412,20.0,1.12296042313149
33,TCD,AF,Sub-Saharan Africa,Chad,-1.48808419704437,4.71698093414307,0.471698105335236,11.3207550048828,0.1,33.3,8.0,59.2825236,20.9712543,20.971255019332,-1.42290568351746,8.49056625366211,1.88679242134094,12.2641506195068,56.6,1.26166279586518
34,CHL,SA,Latin America and the Caribbean,Chile,0.968280136585236,80.6603775024414,75.4716949462891,83.9622650146484,100.0,100.0,100.0,22.76585719,21.0499763,37.8614581067479,0.546773970127106,69.3396224975586,58.4905662536621,78.7735824584961,100.0,12791.2938208521
35,CHN,AS,Eastern Asia,China,0.0159702487289906,55.1886787414551,48.113208770752,62.2641525268555,70.2,91.3,83.2,47.67263439,15.616046,14.7465114295171,0.495032012462616,68.3962249755859,57.0754699707031,77.3584899902344,83.4,948.458649280703
36,COL,SA,Latin America and the Caribbean,Colombia,-0.361808151006699,41.0377349853516,29.7169818878174,51.4150924682617,66.7,99.2,93.3,22.01072747,16.4027538,16.6704835011565,0.0144156282767653,53.7735862731934,35.8490562438965,64.6226425170898,100.0,405.374664087421
37,COM,AF,Sub-Saharan Africa,Comoros,-1.2444132566452,9.43396186828613,1.88679242134094,21.2264156341553,3.9,24.8,11.3,17.15567571,33.7527122,0.714060862821236,-1.68251287937164,6.13207530975342,0.943396210670471,10.8490562438965,60.0,9.92351451189954
38,COG,AF,Sub-Saharan Africa,Congo - Brazzaville,-1.35945165157318,7.07547187805176,1.88679242134094,14.6226415634155,3.89999999999999,50.2,35.6,39.30341272,36.7933235,33.2826313720754,-1.36932182312012,8.96226406097412,2.35849046707153,14.6226415634155,60.0,8.06709861887764
39,CRI,NA,Latin America and the Caribbean,Costa Rica,0.465849369764328,66.9811325073242,59.9056587219238,75.9433975219727,88.3,98.2,95.9,17.42174135,26.5901375,28.7573679898287,0.0532664284110069,55.6603775024414,35.8490562438965,67.9245300292969,100.0,1312.09491119155
40,HRV,EU,Southern Europe,Croatia,0.148001134395599,59.9056587219238,51.4150924682617,65.0943374633789,100.0,100.0,100.0,18.46495986,38.5095253,23.9317678381955,0.581651031970978,70.2830200195313,59.4339637756348,78.7735824584961,80.0,22352.0634042217
41,CUB,NA,Latin America and the Caribbean,Cuba,-0.0693471655249596,52.3584899902344,38.6792449951172,62.2641525268555,88.5,96.7,94.3,17.72659724,16.2291374,6.74667574040111,-0.350331842899323,37.2641525268555,20.7547168731689,58.0188674926758,70.0,68.5798346261443
42,CYP,EU,Western Asia,Cyprus,0.421609163284302,66.0377349853516,59.9056587219238,75.0,100.0,100.0,100.0,15.57380293,38.7208405,11.1620377565196,0.730678856372833,75.4716949462891,62.7358474731445,82.0754699707031,100.0,24379.8771269061
43,CZE,EU,Eastern Europe,Czechia,0.663116157054901,74.5283050537109,66.0377349853516,79.7169799804688,100.0,100.0,100.0,16.75140093,22.1680202,22.1680196265452,1.0939074754715,81.1320724487305,75.0,91.0377349853516,90.0,67601.7572863652
44,CIV,AF,Sub-Saharan Africa,Côte d’Ivoire,-0.348596215248108,42.4528312683105,30.6603775024414,50.9433975219727,1.2,60.6,31.7,55.62337378,22.9614124,14.9406992220439,-0.342977225780487,37.7358474731445,27.3584899902344,52.3584899902344,90.0,55.6844582178213
45,PRK,AS,Eastern Asia,North Korea,-1.60609889030457,2.35849046707153,0.0,8.01886749267578,0.900000000000001,19.4,12.5,44.32957478,2.4353416,1.26022202196055,-1.46298551559448,7.07547187805176,1.41509437561035,14.6226415634155,20.0,0.077317195379045
46,COD,AF,Sub-Saharan Africa,Congo - Kinshasa,-1.54447400569916,3.30188679695129,0.471698105335236,7.07547187805176,0.6,9.5,4.3,35.86088793,13.853673,13.7770512004428,-1.74592006206512,3.30188679695129,0.943396210670471,8.49056625366211,60.0,3.71554382357935
47,DNK,EU,Northern Europe,Denmark,2.40274429321289,100.0,98.5849075317383,100.0,100.0,100.0,100.0,9.785959755,16.9702816,17.9019843467964,1.9906097650528,98.5849075317383,95.7547149658203,100.0,90.0,277081.814259482
